28,3
37,15
17,12
8,9
11,5
32,3
32,12
18,10
34,12
27,6
8,2
30,2
8,11
30,11
9,10
11,7
2,4
32,14
33,13
6,4
34,14
3,8
9,3
3,1
17,9
28,9
0,2
29,13
28,2
28,11
9,7
29,11
32,2
1,5
13,7
7,9
21,11
12,8
33,12
7,11
29,8
31,5
21,13
8,6
1,0
33,14
29,1
29,10
3,0
4,8
27,3
27,12
30,8
10,5
0,4
6,10
27,5
30,1
17,13
19,10
10,7
28,13
2,3
6,3
29,5
31,2
29,14
20,11
34,13
27,7
8,12
11,8
2,5
6,5
31,4
20,13
18,13
28,8
0,1
30,14
29,9
36,14
37,13
17,10
28,10
2,0
29,2
6,9
16,11
7,8
